word,sourceTypes,targetIds,targetLabels,canonicalTargetFlights,practiceBands,practiceFlights,accessibilityBands,vocabLevels,transparency,segmentation,protection,actualFixedOrAuthoredDestinations,dynamicEligibleDestinations,blockedDestinations,sourceOnlyButRuntimeFiltered,recommendedActivityUse,reviewCaution
abduct,flight-c-assessment.js | instructional-protection-registry.js | master-word-inventory | script.js,ab | duct,ab- | duct/duce,C,6-8,C,6-8,academic,high,ab- + duct,formal-pre-post,Pretest C,,Flight C Digital Build Words || Flight C Digital Figure It Out || Flight C Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight C Digital Build Words || Flight C Digital Figure It Out || Flight C Digital Learn,Full practice; Build only when all displayed pieces are explicitly taught,
abnormal,instructional-protection-registry.js | master-word-inventory | script.js | transfer-challenge-data.js,ab,ab-,C,6-8,C,6-8,academic,medium,,migration-challenge,Migration Challenge · Flight C · Transfer Form A,,Flight C Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight C Digital Learn,Learn / Find / Meaning; Figure It Out with scaffolding,
abscond,instructional-check-transfer.js | instructional-protection-registry.js,ab,ab-,C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
absent,instructional-session-planner.js | master-word-inventory | script.js,ab,ab-,C,6-8,C,2-3,familiar,medium,,,Flight C Digital Learn,Flight C Teacher-Led Figure It Out · Optional Practice Set || Flight C Teacher-Led Figure It Out · Retrieve || Flight C Teacher-Led Figure It Out · Word Part · Part A || Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Learn · Optional Practice Set || Flight C Teacher-Led Learn · Retrieve || Flight C Teacher-Led Learn · Word Part · Part A || Flight C Teacher-Led Meaning · Optional Practice Set || Flight C Teacher-Led Meaning · Retrieve || Flight C Teacher-Led Meaning · Word Part · Part A || Flight C Teacher-Led Use It · Optional Practice Set || Flight C Teacher-Led Use It · Retrieve || Flight C Teacher-Led Use It · Word Part · Part A || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A || Flight C Teacher-Led Word Part · Optional Practice Set || Flight C Teacher-Led Word Part · Retrieve || Flight C Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
absorbent,instructional-check-transfer.js | instructional-protection-registry.js,ant-ent-adjective,"-ant, -ent",C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
abstain,instructional-check-transfer.js | instructional-protection-registry.js,ab,ab-,C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
acceptance,instructional-protection-registry.js | master-word-inventory | script.js | transfer-challenge-data.js,ance,-ance,C,6-8,C,6-8,academic,medium,,migration-challenge,Migration Challenge · Flight C · Transfer Form A,,Flight C Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight C Digital Learn,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
act,change-it.js,,,,,,,,,,,Flight B Digital Change It,,,,,
action,change-it.js | instructional-session-planner.js | master-word-inventory | script.js | use-it.js | word-inventory.js + instructional-word-selector.js,ion,"-ion, -tion, -sion",A,2-3,A,2-3,familiar,high,,,Flight A Digital Break It Apart || Flight A Digital Learn || Flight B Digital Change It,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Figure It Out · Word Part · Part B || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Find · Word Part · Part B || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Learn · Word Part · Part B || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Meaning · Word Part · Part B || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Use It · Word Part · Part B || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight A Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning / Word Part / Figure It Out,
active,change-it.js | instructional-session-planner.js | master-word-inventory | script.js | use-it.js | word-inventory.js + instructional-word-selector.js,act | ive,act | -ive,B,4-5,B,4-5,familiar,high,act + -ive,,Flight B Digital Break It Apart || Flight B Digital Build Words || Flight B Digital Change It || Flight B Digital Learn || Flight B Digital Use It,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Break It Apart · Word Part · Part B || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Full practice; Build only when all displayed pieces are explicitly taught,
