word,protection,source,activity,runtimePoolType,runtimePool,studyMode,runtimePattern,runtimeFlight,runtimeVocabLevel,cleanupDisposition,viableWordsRemaining,viableWordList,destination
import,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight B · vocab:academic,combinations,prefix+root,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,construct,Flight B Digital Build Words
inspect,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight B · vocab:academic,combinations,prefix+root,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,construct,Flight B Digital Build Words
interrupt,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight B · vocab:academic,combinations,prefix+root,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,construct,Flight B Digital Build Words
abduct,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convert,Flight C Digital Build Words
emit,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convert,Flight C Digital Build Words
reject,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convert,Flight C Digital Build Words
transmit,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,convert,Flight C Digital Build Words
inactive,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root+suffix · Flight B · vocab:academic,combinations,prefix+root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,nonverbal,Flight B Digital Build Words
inspector,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root+suffix · Flight B · vocab:academic,combinations,prefix+root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,nonverbal,Flight B Digital Build Words
helpful,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Build Words
hopeless,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Build Words
kindness,migration-challenge,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Build Words
readable,migration-challenge,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Build Words
teacher,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight A · vocab:familiar,combinations,root+suffix,A,familiar,POOL_REMAINS_VIABLE_AFTER_PROTECTED_REMOVAL,7,books | boxes | fastest | jumped | jumping | quickly | taller,Flight A Digital Build Words
classify,migration-challenge,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Build Words
inspector,formal-pre-post,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Build Words
modernize,migration-challenge,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Build Words
poetic,migration-challenge,script.js,Build Words,build-pattern-flight-vocab-pool,Build Words · root+suffix · Flight B · vocab:academic,combinations,root+suffix,B,academic,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,1,scripted,Flight B Digital Build Words
