targetId,targetLabel,flight,activity,status,reason
un-negation,un-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
un-reversative,un-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
re,re-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
negative-in-family,"in-, im-, il-, ir-",B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
dis,dis-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
en-em,"en-, em-",A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
non,non-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
location-in-family,"in-, im-",B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
over,over-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
mis,mis-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
sub,sub-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
pre,pre-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
inter,inter-,B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
fore,fore-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
de,de-,B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
trans,trans-,B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
super,super-,B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
semi,semi-,B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
anti,anti-,B,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
mid,mid-,A,Change It,NOT_APPLICABLE,Change It is intentionally not applicable: no validated ordinary context-driven form-change task is available for this target.
