activity,runtimePoolType,runtimePool,studyMode,runtimePattern,runtimeFlight,runtimeVocabLevel,operationalStatus,cleanupDisposition,authoredRows,uniqueWords,viableRows,viableWords,protectedRows,protectedWords,inactiveRows,viableWordList,protectedWordList
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · combinations · Flight B · vocab:academic,combinations,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,14,14,14,14,0,0,0,biologist | construct | constructive | eruption | geographic | geological | geology | graphical | interaction | motion | nonverbal | perspective | transform | visual,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · combinations · Flight B · vocab:familiar,combinations,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,3,3,3,3,0,0,0,active | activity | predict,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · combinations · Flight C · vocab:academic,combinations,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,24,24,24,24,0,0,0,autobiographical | autonomous | biodegradable | biological | convention | convert | credibility | credible | dermatology | incredible | international | microscopic | phonological | projection | revise | sequence | subterranean | territorial | transcribe | transformation | transmitted | transportation | vocalist | vocalize,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · combinations · Flight C · vocab:challenge,combinations,,C,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,circumnavigation,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · combinations · Flight C · vocab:familiar,combinations,,C,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,project,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · prefixes · Flight A · vocab:challenge,prefixes,,A,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,3,3,3,3,0,0,0,foretell | misfire | subsoil,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · prefixes · Flight A · vocab:familiar,prefixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,22,22,22,22,0,0,0,forecast | forehead | midday | midfield | misread | mistake | nonfiction | nonstop | overhead | overuse | precook | preschool | return | rewrite | submarine | unclear | undercook | underground | underpaid | unlock | unsafe | untie,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · prefixes · Flight B · vocab:academic,prefixes,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,9,9,9,9,0,0,0,embed | empower | encircle | enrich | inbound | irregular | semifinal | submerge | subset,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · prefixes · Flight B · vocab:familiar,prefixes,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,8,8,8,8,0,0,0,connect | defrost | detach | illegal | proceed | promote | superhero | superhuman,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · prefixes · Flight C · vocab:academic,prefixes,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,2,2,2,2,0,0,0,misinterpret | nonlinear,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · prefixes · Flight C · vocab:challenge,prefixes,,C,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,3,3,3,3,0,0,0,adjoin | circumscribe | retrofit,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · roots · Flight B · vocab:academic,roots,,B,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,9,9,9,9,0,0,0,biography | geography | instruct | millimeter | rupture | scripted | structure | telegraph | thermostat,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · roots · Flight B · vocab:familiar,roots,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,12,12,12,12,0,0,0,autobiography | autograph | automatic | describe | dictionary | porter | reform | support | telephone | television | video | vision,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · roots · Flight C · vocab:academic,roots,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,7,7,7,7,0,0,0,autonomy | bibliography | pendulum | phoneme | propel | repel | superstructure,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · roots · Flight C · vocab:challenge,roots,,C,challenge,VIABLE,NO_PROTECTED_SOURCE_ROWS,4,4,4,4,0,0,0,bibliographic | bibliophile | phonograph | tenable,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · roots · Flight C · vocab:familiar,roots,,C,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,5,5,5,5,0,0,0,attract | credit | pendant | prevent | refer,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · suffixes · Flight A · vocab:familiar,suffixes,,A,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,29,29,29,29,0,0,0,action | books | boxes | careful | carefully | cloudless | darkness | dogs | endless | enjoyment | fastest | happiness | harmless | helped | jumped | jumping | painless | painted | playful | quickly | running | sleeping | slowly | strongest | tallest | useless | walked | writer | writing,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · suffixes · Flight B · vocab:familiar,suffixes,,B,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,12,12,12,12,0,0,0,artist | beautify | dangerous | famous | joyous | movement | musical | natural | organize | pianist | realize | sleepless,
Break It Apart,generated-study-flight-vocab-pool,Break It Apart · suffixes · Flight C · vocab:academic,suffixes,,C,academic,VIABLE,NO_PROTECTED_SOURCE_ROWS,6,6,6,6,0,0,0,biodiversity | dependence | existence | performance | persistence | resistant,
Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight B · vocab:academic,combinations,prefix+root,B,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,4,4,1,1,3,3,0,construct,import | inspect | interrupt
Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight B · vocab:familiar,combinations,prefix+root,B,familiar,INTENTIONALLY_UNAVAILABLE,INTENTIONAL_NA_NO_AUTHORED_SOURCE,0,0,0,0,0,0,0,,
Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight C · vocab:academic,combinations,prefix+root,C,academic,VIABLE_ONE_WORD_AFTER_PROTECTION,PROTECTED_REMOVAL_LEAVES_ONE_VIABLE_WORD,5,5,1,1,4,4,0,convert,abduct | emit | reject | transmit
Build Words,build-pattern-flight-vocab-pool,Build Words · prefix+root · Flight C · vocab:familiar,combinations,prefix+root,C,familiar,VIABLE,NO_PROTECTED_SOURCE_ROWS,1,1,1,1,0,0,0,project,
